country,score,gdp,life_exp,freedom,gov_corr,generosity
Niger,4.909599781,6.842166901,53.50009537,0.759772122,0.722530186,0.013860817
Laos,4.888599873,8.79858017,58.70992279,0.907213569,0.634679317,0.11137148
Albania,4.882699966,9.417930603,68.70813751,0.781994224,0.896303713,-0.042309489
Cambodia,4.848400116,8.249890327,61.52996826,0.959704638,0.822769046,0.051911179
Bangladesh,4.832799911,8.287063599,64.50306702,0.90062499,0.661843538,-0.033664726
Gabon,4.829299927,9.680537224,59.71533966,0.704829216,0.849150956,-0.222261623
South Africa,4.814099789,9.403370857,56.50601196,0.759330094,0.843423843,-0.109777324
Iraq,4.784800053,9.661095619,59.90354919,0.633182645,0.82226181,-0.06956476
Lebanon,4.771500111,9.3617239,67.10658264,0.551357508,0.90225625,-0.06121527
Burkina Faso,4.768700123,7.46854496,53.88945389,0.665563583,0.739795029,-0.019080516
Gambia,4.750599861,7.321814537,55.0120163,0.733163178,0.690717816,0.343198717
Mali,4.729300022,7.629852295,51.72698212,0.71156615,0.839328408,-0.044366926
Nigeria,4.724100113,8.57662487,49.86190796,0.759578407,0.861874342,0.033745807
Armenia,4.676799774,9.100476265,66.75065613,0.712017834,0.773544788,-0.13877961
Georgia,4.672599792,9.226100922,64.49520874,0.801641524,0.665944695,-0.22892037
Iran,4.672399998,9.813719749,66.00614929,0.647873282,0.714635968,0.117891103
Jordan,4.633399963,9.025999069,66.79975128,0.75104779,0.700344324,-0.162565202
Mozambique,4.623600006,7.069345951,54.20582199,0.864451885,0.683019102,0.032375868
Kenya,4.583000183,8.02977562,60.09693146,0.829747558,0.831499159,0.294681519
Namibia,4.571100235,9.203141212,56.50148773,0.767520964,0.851449788,-0.18530646
Ukraine,4.56069994,9.010690689,64.60678101,0.663081884,0.920636714,-0.030933706
Liberia,4.557899952,7.054380417,56.09631348,0.735268712,0.856375933,0.04227322
Palestinian Territories,4.552800179,8.389223099,62.25,0.645791829,0.824199975,-0.162079096
Uganda,4.43200016,7.500389576,55.70820236,0.731713951,0.836737812,0.099487431
Chad,4.422699928,7.467963696,48.22053909,0.587305248,0.802760839,0.017834719
Tunisia,4.392199993,9.314972878,66.89785767,0.593361557,0.867590249,-0.216413811
Mauritania,4.374599934,8.233919144,57.01017761,0.551522553,0.746223509,-0.106008142
Sri Lanka,4.327000141,9.389969826,67.20006561,0.837633669,0.859001756,0.081129618
Congo (Kinshasa),4.31099987,6.694256306,52.90000153,0.700793564,0.809403598,0.083637655
Swaziland,4.308100224,9.16267395,51.18823624,0.646822274,0.708263338,-0.19920142
Myanmar,4.308000088,8.680481911,58.96171188,0.895075202,0.645124316,0.560663998
Comoros,4.288599968,7.833630085,57.34901047,0.547612607,0.780622602,0.090008408
Togo,4.187200069,7.357711315,54.71989822,0.649828613,0.757733464,0.002667875
Ethiopia,4.186200142,7.509385586,58.63959122,0.740795195,0.753690004,0.043377332
Madagascar,4.165599823,7.281685829,59.10542679,0.557574093,0.817485631,-0.011823639
Egypt,4.151400089,9.316541672,61.78015137,0.708354175,0.787726879,-0.196878314
Sierra Leone,3.926399946,7.26880312,50.86514282,0.715315044,0.861330688,0.088660747
Burundi,3.775300026,6.492642403,53.40000153,0.626350224,0.606934547,-0.017551597
Zambia,3.759399891,8.224720001,55.29937744,0.806500256,0.801289678,0.078037128
Haiti,3.720799923,7.411329269,55.59862518,0.537825167,0.684767246,0.40053457
Lesotho,3.652800083,7.960488319,48.00362396,0.738125861,0.857392073,-0.145732045
India,3.573299885,8.849823952,60.21518707,0.881444871,0.772042692,0.057551607
Malawi,3.538000107,7.062226295,57.59288788,0.803223193,0.731700778,0.021433279
Yemen,3.527400017,7.759682655,56.72728348,0.599920273,0.800287724,-0.157735437
Botswana,3.478899956,9.711203575,58.92445374,0.821328104,0.777930915,-0.250394493
Tanzania,3.476200104,7.967665195,57.49607468,0.82153976,0.619799435,0.109668687
Central African Republic,3.475899935,6.625160217,45.20000076,0.640880644,0.891806662,0.082410358
Rwanda,3.312299967,7.600104332,61.09884644,0.900589406,0.183541179,0.055483952
Zimbabwe,3.299200058,7.865711689,55.61725998,0.711457908,0.81023699,-0.072063953
South Sudan,2.816600084,7.425359726,51,0.451313615,0.763417304,0.016518548
Afghanistan,2.566900015,7.462860584,52.59000015,0.396573007,0.933686554,-0.0964294
